Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41880534,La conjura de los necios,Jonathan Swift,"Swift, Jonathan",,"=""9871920393""","=""9789871920396""",0,Verdehalago,Hardcover,53,2013,,,2019/02/22,to-read,to-read (#4),to-read,,,,0,0
29580,"Second Foundation (Foundation, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0553803735""","=""9780553803730""",4,Bantam Spectra,Hardcover,256,2004,1953,,2019/01/23,,,read,,,,1,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",5,Spectra,Hardcover,256,2004,1952,,2019/01/23,,,read,,,,1,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",4,Bantam Books,Hardcover,224,2004,1950,,2017/10/03,,,read,,,,1,0
25157884,Violin negro en orquesta roja,Javier Gómez Pérez,"Pérez, Javier Gómez",,"=""8490671753""","=""9788490671757""",0,Algaida Editores,Paperback,414,2015,2015,,2019/01/16,to-read,to-read (#3),to-read,,,,0,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",4,Bantam,Hardcover,244,2004,1951,2018/05/24,2018/06/18,,,read,"Está claro que es obligatorio de leer si te gusta la ciencia ficción, aunque literariamente es un libro que tiene mucho valor. Empieza dando muchos detalles sobre los protagonistas, pero llega un momento en el que el actor principal cambia cada capítulo, y esto es algo a lo que te tienes que acostumbrar en el resto de la trilogía. Si te cuesta recordar nombres este libro no es el mejor para leer, Hari Seldon, Salvor Hardin, Eskel Gorov, por nombrar sólo los más importantes de cada parte... <br/><br/>Dicho lo cual, es un libro que te permite reproducir la historia de la humanidad y que tiene ese tinte a teoría de Olduvai donde piensas que todo es un ciclo que se vuelve a repetir. Un libro filosófico más que científico.",,,1,0
484183,"""The Eye That Never Sleeps"": A History of the Pinkerton National Detective Agency",Frank Morn,"Morn, Frank",,"=""0253320860""","=""9780253320865""",0,Indiana University Press,Hardcover,256,1982,1982,,2018/05/25,to-read,to-read (#2),to-read,,,,0,0
72029,La historia interminable,Michael Ende,"Ende, Michael",Miguel Sáenz,"=""8422614685""","=""9788422614685""",5,Círculo de Lectores,Hardcover,400,1983,1979,2017/10/01,2017/08/20,,,read,,,,1,0
60142,La ciudad y los perros,Mario Vargas Llosa,"Llosa, Mario Vargas",,"=""8466309152""","=""9788466309158""",0,Punto de Lectura,Mass Market Paperback,446,2000,1962,,2017/08/20,currently-reading,currently-reading (#1),currently-reading,,,,1,0
7702566,"Venganza en Sevilla (Martín Ojo de Plata, #2)",Matilde Asensi,"Asensi, Matilde",,"=""8408088351""","=""9788408088356""",0,Editorial Planeta,Hardcover,304,2010,2010,,2017/08/20,,,read,,,,1,0
15710145,"La conjura de Cortés (Martín Ojo de Plata, #3)",Matilde Asensi,"Asensi, Matilde",,"=""840800803X""","=""9788408008033""",0,Planeta,Hardcover,384,2012,2012,,2017/08/20,,,read,,,,1,0
18462824,"Martín Ojo de Plata (Martín Ojo de Plata, #1-2)",Matilde Asensi,"Asensi, Matilde",,"=""8408103938""","=""9788408103936""",0,Planeta,Hardcover,580,2011,2011,,2017/08/20,,,read,,,,1,0
25490453,The Transparency Society,Byung-Chul Han,"Han, Byung-Chul",,"=""080479460X""","=""9780804794602""",0,Stanford University Press,Paperback,72,2015,2012,,2017/04/10,to-read,to-read (#1),to-read,,,,0,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,"=""""","=""""",5,Del Rey / Ballantine Books,Paperback,244,1996,1968,2017/02/23,2017/02/21,,,read,,,,1,0
